Document_ID1	Document_ID2	Similarity
3084	3140	0.7044
3086	3087	0.8515
3090	3101	0.7330
3100	3114	0.9348
3100	3136	0.7024
3102	11089	0.7176
3139	6818	0.7053
3186	3201	0.7338
3201	3217	0.7340
3246	3264	0.7552
3246	8714	0.7563
3246	8716	0.7158
3246	8719	0.7461
3261	3361	0.7081
3264	8696	0.7256
3264	8707	0.7203
3264	8714	0.7491
3264	8716	0.7775
3264	8719	0.8034
3285	6851	0.8333
3287	3288	0.7135
3310	3312	0.7040
3310	14329	0.8274
3312	14329	0.8011
3313	3314	0.7058
3314	3316	0.9175
3319	3320	0.8252
3338	7739	0.8704
3356	3358	0.7101
3399	3415	0.7842
3400	14341	0.9275
3422	12636	0.7040
3443	10666	0.7131
3444	3471	0.7303
3456	3473	0.7915
3458	14342	0.8486
3461	6784	0.7104
3467	3468	0.7700
3499	7464	0.7066
3523	7779	0.7258
3531	3536	0.9004
3535	8009	0.7201
3553	3556	0.8990
3564	7715	0.7283
3564	13192	0.7475
3564	14353	0.7514
3572	8737	0.7687
3598	5905	0.7370
3599	3635	0.7280
3843	3849	0.7708
3843	10760	0.7045
3843	10780	0.7097
3843	13989	0.7780
3843	14002	0.7044
3849	7258	0.7188
3849	10760	0.7067
3849	10780	0.7167
3849	14002	0.7096
3870	13986	0.8138
3900	4647	0.7005
3915	3923	0.7769
3955	3988	1.0000
4038	4614	0.9736
4095	4119	0.7004
4115	4129	0.7175
4127	4137	0.7468
4153	4173	0.9414
4162	4179	0.7348
4207	4220	0.7964
4212	4240	0.7558
4254	4257	0.7051
4264	4284	0.7996
4267	4281	0.7313
4267	8926	0.8114
4281	8926	0.7866
4430	4431	0.7599
4527	4562	0.8248
4582	14415	0.7471
4636	4637	0.8404
4656	14423	0.7769
4704	4726	0.7150
4733	4763	1.0000
4734	4742	0.7037
4815	4834	1.0000
4869	10110	0.7213
4884	14436	0.7656
4949	11942	0.7655
5140	5166	1.0000
5145	15195	0.7696
5155	13340	1.0000
5169	9721	0.7071
5169	14871	0.7001
5182	5183	0.7749
5197	5206	0.7273
5197	5209	0.7463
5229	5234	0.7119
5229	13151	0.7119
5234	13151	1.0000
5241	5263	0.7279
5245	5263	0.7133
5264	5268	0.7140
5340	5342	0.9755
5429	14466	0.7292
5437	7096	0.7556
5474	9923	0.7139
5516	5521	0.7140
5633	11058	0.7600
5633	13082	0.8096
5671	5681	0.7861
5681	5686	0.7544
5731	5735	0.7130
5739	5830	0.7810
5746	5803	0.7177
5954	9912	0.7890
5963	9912	0.7149
6000	6017	0.7313
6003	6008	0.7124
6072	6078	0.7742
6095	9923	0.7163
6097	6102	0.7036
6107	6116	0.7739
6132	9873	0.7061
6175	6177	0.7638
6183	6435	0.8730
6269	14409	0.7635
6319	15211	1.0000
6439	14519	0.7446
6444	6451	0.7793
6467	6468	0.9077
6527	6528	0.9643
6649	6658	0.7663
6649	6661	0.7044
6656	6704	0.7095
6658	6661	0.7376
6658	6726	0.7389
6658	14542	0.7162
6658	14543	0.7025
6658	14545	0.7342
6661	6671	0.7145
6661	6726	0.7114
6661	14545	0.7188
6670	6704	0.7029
6671	6726	0.7298
6690	6704	0.7048
6690	6827	0.7355
6694	6704	0.7035
6701	6704	0.7427
6701	14535	0.7395
6704	6775	0.7214
6704	11362	0.7508
6704	14535	0.7587
6726	14537	0.7066
6726	14542	0.7043
6726	14545	0.7528
6733	6819	0.7024
6741	6803	0.7200
6744	6812	0.7098
6748	14543	0.7154
6768	14542	0.7031
6776	6818	0.7002
6791	14541	0.7276
6798	6815	0.7069
6818	6830	0.7046
6843	7319	0.7984
6853	6869	0.7191
6867	14151	0.7005
6889	6903	0.9034
6922	6932	1.0000
6924	6930	0.7213
6973	6977	0.7291
6984	6985	0.7613
7010	14006	0.7575
7014	7021	0.7375
7103	14565	0.7235
7134	14566	0.8674
7244	7273	0.7085
7245	7255	0.7169
7245	7273	0.7825
7250	7255	0.7485
7250	7273	0.7536
7255	7273	0.7364
7257	7271	0.7241
7287	7299	0.7054
7354	7358	0.9011
7386	7873	0.7138
7398	7399	0.8472
7398	7412	0.9109
7399	7412	0.8161
7406	7415	0.7529
7410	7420	0.8102
7436	7440	0.8042
7440	9930	0.7358
7440	12837	0.7225
7440	14070	0.7685
7440	14698	0.7139
7476	7477	0.8836
7476	7494	0.7772
